wl,refl,refl_u
401.82374,0.02625825484933756,0.0011279969475600027
402.61047,0.02638551736931178,0.0011350864522456882
403.39714,0.02671349050038079,0.0011488644819007442
404.18373,0.026887622571137654,0.0011557108439491284
404.97025,0.027230054538551835,0.0011709903944811017
405.7567,0.027490666304399277,0.00118199901124256
406.54308,0.027817767467523024,0.0011929935781386538
407.32939,0.028002246886135427,0.0012028576533996676
408.11562,0.028342103180454124,0.0012172626862289343
408.90179,0.028582929173212653,0.0012272105834890336
409.68788,0.028885334946687685,0.0012398628755404839
410.4739,0.02908476568463918,0.0012480850092968687
411.25984,0.029418483309119878,0.0012616552160038068
412.04572,0.02963981433987958,0.0012720228879250495
412.83152,0.029891155791678996,0.0012822172639804597
413.61726,0.03033393733562225,0.0013019681498804934
414.40292,0.0304106627305882,0.0013033799493816377
415.18851,0.03079449380200721,0.0013200499591022369
415.97402,0.031016690455808005,0.001329842996761068
416.75947,0.03138120512227746,0.0013465750367908267
417.54484,0.03166182733712513,0.0013581105005239496
418.33014,0.03191650707133749,0.0013668219092350254
419.11537,0.032158944738551284,0.0013789472306130284
419.90053,0.03248581101728328,0.001392816703547004
420.68562,0.0327573528641628,0.0014038945271674923
421.47063,0.0330049282820059,0.001413610241152341
422.25558,0.03316293029118711,0.0014217617870533282
423.04045,0.03353709917471726,0.001437815522013817
423.82525,0.03369926511366949,0.001443555249127478
424.60997,0.03414209558280421,0.0014626418946694073
425.39463,0.0342160152079149,0.0014664431670934578
426.17921,0.03435921685245163,0.0014714880357107206
426.96372,0.0346630543204772,0.0014857963408232712
427.74816,0.03481443405809393,0.0014934747876421816
428.53253,0.03492112798555783,0.0014964140129325879
429.31683,0.0350991208917489,0.0015046233252498098
430.10105,0.035327781509829854,0.0015159060450175995
430.88521,0.03560021285730989,0.001524930795654212
431.66929,0.03560536923476175,0.0015263443057245082
432.4533,0.03548489379987197,0.0015216161674858613
433.23723,0.035777600265736044,0.0015328516569935436
434.0211,0.03592705845278265,0.0015395961235890943
434.80489,0.0360241606859185,0.0015442220452357809
435.58861,0.03606594132145474,0.001545207011114763
436.37226,0.03607659577368475,0.0015467756358777116
437.15584,0.03621760731692734,0.0015522295148102082
437.93935,0.036378842874635935,0.0015604705273021733
438.72278,0.036533772661224775,0.001565920267913456
